"sample_id","bees_num","date","season","site","native_or_non","sampling","plant_species","time","bee_species","sex","specialized_on","parasitic","nesting","status","nonnative_bee"
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Augochlorella aurata","f",null,0,"ground",null,0
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Agapostemon texanus","f",null,0,"ground",null,0
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Augochlorella aurata","f",null,0,"ground",null,0
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Andrena carlini","f",null,0,"ground",null,0
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Andrena perplexa","m",null,0,"ground",null,0
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Apis mellifera","f",null,0,"hive",null,1
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Apis mellifera","f",null,0,"hive",null,1
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Apis mellifera","f",null,0,"hive",null,1
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Apis mellifera","f",null,0,"hive",null,1
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Apis mellifera","f",null,0,"hive",null,1
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Apis mellifera","f",null,0,"hive",null,1
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Lasioglossum tegulare","f",null,0,"ground",null,0
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Lasioglossum pectorale","f",null,0,"ground",null,0
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Lasioglossum tegulare","f",null,0,"ground",null,0
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Lasioglossum pectorale","f",null,0,"ground",null,0
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Lasioglossum pilosum","f",null,0,"ground",null,0
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Lasioglossum pilosum","f",null,0,"ground",null,0
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Lasioglossum cressonii","f",null,0,"wood",null,0
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Lasioglossum trigeminum","f",null,0,"ground",null,0
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Osmia pumila","m",null,0,"wood",null,0
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Lasioglossum pectorale","f",null,0,"ground",null,0
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Andrena miserabilis","m",null,0,"ground",null,0
17400,23,"04/18/2017","early.season","A","native","pan traps","None",935,"Augochlorella aurata","f",null,0,"ground",null,0
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Lasioglossum versatum","f",null,0,"ground",null,0
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Osmia pumila","m",null,0,"wood",null,0
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Osmia pumila","m",null,0,"wood",null,0
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Osmia atriventris","m",null,0,"wood",null,0
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Osmia atriventris","m",null,0,"wood",null,0
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Osmia pumila","m",null,0,"wood",null,0
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Nomada bidentate_group","m",null,1,"parasite [ground]",null,0
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Agapostemon texanus","f",null,0,"ground",null,0
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Agapostemon texanus","f",null,0,"ground",null,0
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Agapostemon texanus","f",null,0,"ground",null,0
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Agapostemon texanus","f",null,0,"ground",null,0
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Osmia bucephala","m",null,0,"wood",null,0
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Apis mellifera","f",null,0,"hive",null,1
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Osmia bucephala","m",null,0,"wood",null,0
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Apis mellifera","f",null,0,"hive",null,1
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Apis mellifera","f",null,0,"hive",null,1
17401,20,"04/18/2017","early.season","A","non-native","pan traps","None",935,"Lasioglossum tegulare","f",null,0,"ground",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Lasioglossum pilosum","f",null,0,"ground",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Lasioglossum tegulare","f",null,0,"ground",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Lasioglossum pilosum","f",null,0,"ground",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Nomada bidentate_group","f",null,1,"parasite [ground]",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Lasioglossum versatum","f",null,0,"ground",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Lasioglossum callidum","f",null,0,"ground",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Ceratina calcarata","m",null,0,"wood",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Augochlorella aurata","f",null,0,"ground",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Agapostemon texanus","f",null,0,"ground",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Agapostemon splendens","f",null,0,"ground",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Agapostemon texanus","f",null,0,"ground",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Agapostemon texanus","f",null,0,"ground",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Apis mellifera","f",null,0,"hive",null,1
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Osmia bucephala","m",null,0,"wood",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Osmia bucephala","m",null,0,"wood",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Lasioglossum coreopsis","f",null,0,"ground",null,0
17402,20,"04/18/2017","early.season","B","native","pan traps","None",950,"Lasioglossum tegulare","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Lasioglossum tegulare","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Lasioglossum tegulare","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Lasioglossum coreopsis","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Lasioglossum tegulare","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Lasioglossum coreopsis","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Lasioglossum coreopsis","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Lasioglossum coreopsis","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Lasioglossum callidum","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Augochlorella aurata","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Lasioglossum trigeminum","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Lasioglossum pilosum","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Osmia pumila","m",null,0,"wood",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Augochlorella aurata","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Andrena miserabilis","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Apis mellifera","f",null,0,"hive",null,1
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Apis mellifera","f",null,0,"hive",null,1
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Augochlorella aurata","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Augochlorella aurata","f",null,0,"ground",null,0
17403,35,"04/18/2017","early.season","B","non-native","pan traps","None",950,"Augochlorella aurata","f",null,0,"ground",null,0
17406,1,"04/18/2017","early.season","C","non-native","hand netting","Trifolium incarnatum",1320,"Apis mellifera","f",null,0,"hive",null,1
17406,2,"04/18/2017","early.season","C","non-native","hand netting","Viola cornuta",1320,"Lasioglossum cressonii","f",null,0,"wood",null,0
17406,2,"04/18/2017","early.season","C","non-native","hand netting","Viola cornuta",1320,"Ceratina calcarata","f",null,0,"wood",null,0
17407,12,"05/02/2017","early.season","A","native","pan traps","None",945,"Nomada australis","f",null,1,"parasite [ground]",null,0
17407,12,"05/02/2017","early.season","A","native","pan traps","None",945,"Lasioglossum tegulare","f",null,0,"ground",null,0
17407,12,"05/02/2017","early.season","A","native","pan traps","None",945,"Lasioglossum pilosum","f",null,0,"ground",null,0
17407,12,"05/02/2017","early.season","A","native","pan traps","None",945,"Augochlorella aurata","f",null,0,"ground",null,0
17407,12,"05/02/2017","early.season","A","native","pan traps","None",945,"Lasioglossum tegulare","f",null,0,"ground",null,0
17407,12,"05/02/2017","early.season","A","native","pan traps","None",945,"Lasioglossum tegulare","f",null,0,"ground",null,0
17407,12,"05/02/2017","early.season","A","native","pan traps","None",945,"Ceratina","f",null,null,"wood",null,null
17407,12,"05/02/2017","early.season","A","native","pan traps","None",945,"Agapostemon texanus","f",null,0,"ground",null,0
17407,12,"05/02/2017","early.season","A","native","pan traps","None",945,"Lasioglossum pilosum","f",null,0,"ground",null,0
17407,12,"05/02/2017","early.season","A","native","pan traps","None",945,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17408,9,"05/02/2017","early.season","A","non-native","pan traps","None",945,"Lasioglossum coreopsis","f",null,0,"ground",null,0
17408,9,"05/02/2017","early.season","A","non-native","pan traps","None",945,"Augochlorella aurata","f",null,0,"ground",null,0
17408,9,"05/02/2017","early.season","A","non-native","pan traps","None",945,"Augochlorella aurata","f",null,0,"ground",null,0
17408,9,"05/02/2017","early.season","A","non-native","pan traps","None",945,"Augochlorella aurata","f",null,0,"ground",null,0
17408,9,"05/02/2017","early.season","A","non-native","pan traps","None",945,"Lasioglossum pilosum","f",null,0,"ground",null,0
17408,9,"05/02/2017","early.season","A","non-native","pan traps","None",945,"Megachile brevis","f",null,0,"wood",null,0
17409,1,"05/02/2017","early.season","A","non-native","hand netting","Trifolium repens",1340,"Halictus parallelus","f",null,0,"ground",null,0
17409,10,"05/02/2017","early.season","A","non-native","hand netting","Leucanthemum vulgare",1340,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17409,10,"05/02/2017","early.season","A","non-native","hand netting","Leucanthemum vulgare",1340,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17409,10,"05/02/2017","early.season","A","non-native","hand netting","Leucanthemum vulgare",1340,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17409,10,"05/02/2017","early.season","A","non-native","hand netting","Leucanthemum vulgare",1340,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17409,10,"05/02/2017","early.season","A","non-native","hand netting","Leucanthemum vulgare",1340,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17409,10,"05/02/2017","early.season","A","non-native","hand netting","Leucanthemum vulgare",1340,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17409,10,"05/02/2017","early.season","A","non-native","hand netting","Leucanthemum vulgare",1340,"Ceratina strenua","f",null,0,"wood",null,0
17409,10,"05/02/2017","early.season","A","non-native","hand netting","Leucanthemum vulgare",1340,"Andrena (Trachandrena)","m",null,null,"ground",null,null
17409,10,"05/02/2017","early.season","A","non-native","hand netting","Leucanthemum vulgare",1340,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17409,10,"05/02/2017","early.season","A","non-native","hand netting","Leucanthemum vulgare",1340,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17410,18,"05/02/2017","early.season","B","native","pan traps","None",930,"Augochlorella aurata","f",null,0,"ground",null,0
17410,18,"05/02/2017","early.season","B","native","pan traps","None",930,"Augochlorella aurata","f",null,0,"ground",null,0
17410,18,"05/02/2017","early.season","B","native","pan traps","None",930,"Lasioglossum versatum","f",null,0,"ground",null,0
17410,18,"05/02/2017","early.season","B","native","pan traps","None",930,"Lasioglossum pilosum","f",null,0,"ground",null,0
17410,18,"05/02/2017","early.season","B","native","pan traps","None",930,"Augochlorella aurata","f",null,0,"ground",null,0
17410,18,"05/02/2017","early.season","B","native","pan traps","None",930,"Nomada australis","m",null,1,"parasite [ground]",null,0
17410,18,"05/02/2017","early.season","B","native","pan traps","None",930,"Andrena nasonii","f",null,0,"ground",null,0
17410,18,"05/02/2017","early.season","B","native","pan traps","None",930,"Augochlorella aurata","f",null,0,"ground",null,0
17410,18,"05/02/2017","early.season","B","native","pan traps","None",930,"Augochlorella aurata","f",null,0,"ground",null,0
17410,18,"05/02/2017","early.season","B","native","pan traps","None",930,"Ceratina mikmaqi","m",null,0,"wood",null,0
17410,18,"05/02/2017","early.season","B","native","pan traps","None",930,"Nomada australis","f",null,1,"parasite [ground]",null,0
17410,18,"05/02/2017","early.season","B","native","pan traps","None",930,"Agapostemon virescens","f",null,0,"ground",null,0
17410,18,"05/02/2017","early.season","B","native","pan traps","None",930,"Agapostemon virescens","f",null,0,"ground",null,0
17410,18,"05/02/2017","early.season","B","native","pan traps","None",930,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17410,18,"05/02/2017","early.season","B","native","pan traps","None",930,"Agapostemon texanus","f",null,0,"ground",null,0
17410,18,"05/02/2017","early.season","B","native","pan traps","None",930,"Agapostemon texanus","f",null,0,"ground",null,0
17410,18,"05/02/2017","early.season","B","native","pan traps","None",930,"Agapostemon splendens","f",null,0,"ground",null,0
17410,18,"05/02/2017","early.season","B","native","pan traps","None",930,"Agapostemon splendens","f",null,0,"ground",null,0
17411,17,"05/02/2017","early.season","B","non-native","pan traps","None",930,"Augochlorella aurata","f",null,0,"ground",null,0
17411,17,"05/02/2017","early.season","B","non-native","pan traps","None",930,"Augochlorella aurata","f",null,0,"ground",null,0
17411,17,"05/02/2017","early.season","B","non-native","pan traps","None",930,"Augochlorella aurata","f",null,0,"ground",null,0
17411,17,"05/02/2017","early.season","B","non-native","pan traps","None",930,"Osmia subfasciata","f",null,0,"wood/shell",null,0
17411,17,"05/02/2017","early.season","B","non-native","pan traps","None",930,"Osmia atriventris","m",null,0,"wood",null,0
17411,17,"05/02/2017","early.season","B","non-native","pan traps","None",930,"Andrena perplexa","m",null,0,"ground",null,0
17411,17,"05/02/2017","early.season","B","non-native","pan traps","None",930,"Agapostemon texanus","f",null,0,"ground",null,0
17411,17,"05/02/2017","early.season","B","non-native","pan traps","None",930,"Agapostemon splendens","f",null,0,"ground",null,0
17411,17,"05/02/2017","early.season","B","non-native","pan traps","None",930,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
17411,17,"05/02/2017","early.season","B","non-native","pan traps","None",930,"Lasioglossum cressonii","f",null,0,"wood",null,0
17411,17,"05/02/2017","early.season","B","non-native","pan traps","None",930,"Lasioglossum coriaceum","f",null,0,"ground",null,0
17411,17,"05/02/2017","early.season","B","non-native","pan traps","None",930,"Apis mellifera","f",null,0,"hive",null,1
17411,17,"05/02/2017","early.season","B","non-native","pan traps","None",930,"Apis mellifera","f",null,0,"hive",null,1
17412,3,"05/02/2017","early.season","B","non-native","hand netting","Leucanthemum vulgare",1050,"Halictus poeyi/ligatus","f",null,0,"ground",null,0
